Pt. #		Horz. Ang.			Vert. Ang.		Horz. Ang.	Vert. Ang.	Slope Dist.	Horz. Dist.	Vert. Dist.	X	Y	Z
	deg	min	sec	deg	min	sec	Decimal	Decimal					"Station at 0,0,0"	
1	95	24	48	104	31	40	95.41333333	104.5277778	158.463	153.3963261	-39.75033989	152.7121842	14.47140764	-39.75033989
2	97	13	54	104	32	48	97.23166667	104.5466667	158.979	153.8826719	-39.93051133	152.6585783	19.37098831	-39.93051133
3	103	30	42	104	0	6	103.5116667	104.0016667	159.462	154.7241749	-38.58185008	150.4417757	36.15027527	-38.58185008
4	104	52	34	104	55	16	104.8761111	104.9211111	162.061	156.5965091	-41.72889972	151.3478958	40.20299831	-41.72889972
5	100	29	23	103	26	50	100.4897222	103.4472222	179.924	174.9913017	-41.84124888	172.0667738	31.85876681	-41.84124888
6	94	42	40	103	7	0	94.71111111	103.1166667	173.496	168.9694886	-39.37224813	168.3986215	13.87776495	-39.37224813
														
